book_id,title,genre,publication_year,price,rating,author_id
1,Book Title 0,Mystery,2007,37.07,4,98
2,Book Title 1,Biography,2013,28.01,2,58
3,Book Title 2,Fiction,1988,24.89,4,90
4,Book Title 3,Fiction,2000,90.38,4,65
5,Book Title 4,Romance,1991,79.61,1,20
6,Book Title 5,Fiction,2014,44.8,3,56
7,Book Title 6,Non-Fiction,1992,62.15,1,96
8,Book Title 7,Fiction,2004,66.75,2,70
9,Book Title 8,Non-Fiction,1982,82.02,3,77
10,Book Title 9,Fantasy,2017,19.41,2,7
11,Book Title 10,Biography,2018,18.64,4,27
12,Book Title 11,Non-Fiction,1991,50.51,3,45
13,Book Title 12,Romance,2016,27.92,4,94
14,Book Title 13,Romance,1998,68.86,5,30
15,Book Title 14,Fiction,2001,43.44,3,69
16,Book Title 15,Mystery,2001,65.14,2,100
17,Book Title 16,Mystery,2004,27.04,3,35
18,Book Title 17,Biography,2006,39.32,5,26
19,Book Title 18,Sci-Fi,2010,65.52,1,37
20,Book Title 19,Romance,2003,66.47,4,8
21,Book Title 20,Romance,2009,61.93,5,76
22,Book Title 21,Sci-Fi,2001,70.86,4,45
23,Book Title 22,Non-Fiction,2022,32.49,4,33
24,Book Title 23,Fantasy,2014,75.54,1,8
25,Book Title 24,Fiction,1998,10.87,1,87
26,Book Title 25,Non-Fiction,1998,98.24,1,75
27,Book Title 26,Sci-Fi,1981,65.21,4,69
28,Book Title 27,Romance,1989,54.53,1,11
29,Book Title 28,Fantasy,2018,23.54,4,20
30,Book Title 29,Romance,2001,5.84,4,86
31,Book Title 30,Mystery,2014,47.48,5,77
32,Book Title 31,Fantasy,1987,61.86,2,57
33,Book Title 32,Sci-Fi,2006,27.84,4,35
34,Book Title 33,Mystery,2015,72.66,5,1
35,Book Title 34,Romance,1984,27.71,4,31
36,Book Title 35,Romance,1998,17.55,2,42
37,Book Title 36,Biography,1989,24.22,5,98
38,Book Title 37,Fiction,2018,8.43,3,61
39,Book Title 38,Sci-Fi,2008,8.4,3,71
40,Book Title 39,Romance,1993,72.23,5,23
41,Book Title 40,Sci-Fi,2006,7.39,4,80
42,Book Title 41,Biography,1997,74.56,5,72
43,Book Title 42,Fiction,2018,79.78,1,37
44,Book Title 43,Mystery,2012,66.61,4,20
45,Book Title 44,Fantasy,1990,24.9,2,7
46,Book Title 45,Sci-Fi,1993,51.96,5,76
47,Book Title 46,Sci-Fi,2000,64.42,1,62
48,Book Title 47,Mystery,1996,73.99,3,97
49,Book Title 48,Biography,1986,85.34,3,61
