order_id,customer_id,book_id,quantity,order_date
1,113,161,4,2024-03-21
2,20,286,2,2024-11-06
3,167,457,4,2024-01-14
4,86,249,4,2024-08-25
5,27,393,5,2024-09-20
6,262,236,2,2024-02-07
7,13,75,1,2024-07-09
8,22,208,4,2024-05-18
9,69,99,1,2024-08-09
10,43,363,4,2024-05-21
11,75,241,5,2024-11-09
12,247,162,1,2024-08-11
13,33,93,2,2024-07-02
14,75,257,3,2024-05-27
15,187,200,1,2024-05-27
16,213,241,3,2024-04-15
17,189,118,1,2024-03-10
18,12,93,3,2024-04-28
19,241,30,4,2024-09-27
20,12,89,4,2024-05-16
21,39,233,1,2024-04-17
22,90,139,5,2024-03-04
23,132,75,1,2024-03-14
24,51,59,2,2024-07-07
25,172,468,3,2024-02-29
26,264,393,1,2024-05-02
27,293,189,2,2024-07-11
28,153,482,5,2024-02-11
29,29,93,1,2024-09-30
30,236,144,2,2024-11-10
31,125,211,1,2024-02-19
32,72,139,2,2024-06-07
33,60,125,5,2024-09-28
34,77,30,5,2024-09-17
35,114,121,2,2024-02-18
36,75,185,3,2024-08-11
37,185,85,5,2024-06-10
38,60,359,5,2024-09-12
39,285,149,1,2024-10-14
40,127,208,1,2024-10-23
41,25,182,5,2024-08-10
42,241,26,4,2024-02-15
43,168,20,3,2024-03-02
44,191,406,3,2024-04-25
45,25,94,2,2024-10-12
46,153,16,1,2024-08-08
47,9,334,5,2024-01-20
48,155,39,2,2024-03-21
49,122,53,2,2024-01-01
50,131,51,2,2024-01-23
51,4,266,2,2024-09-18
52,194,439,3,2024-03-26
53,94,208,3,2024-06-23
54,42,19,5,2024-08-11
55,281,80,5,2024-07-03
56,16,61,4,2024-03-14
57,123,245,2,2024-04-16
58,116,99,1,2024-09-12
59,214,333,1,2024-10-03
60,49,67,2,2024-06-18
61,291,203,5,2024-07-09
62,204,482,5,2024-01-04
63,196,145,3,2024-09-21
64,242,320,4,2024-07-15
65,21,220,1,2024-09-23
66,88,207,4,2024-04-20
67,184,14,5,2024-02-24
68,95,352,5,2024-02-22
69,290,152,4,2024-03-03
70,164,110,2,2024-11-12
71,187,114,4,2024-09-06
72,20,196,5,2024-01-20
73,150,408,4,2024-11-12
74,287,387,5,2024-04-22
75,70,387,2,2024-10-01
76,58,41,3,2024-04-07
77,152,150,3,2024-08-01
78,44,455,2,2024-05-29
79,118,67,5,2024-01-23
80,235,256,2,2024-01-30
81,25,28,1,2024-04-04
82,246,240,3,2024-11-16
83,235,123,1,2024-06-08
84,170,118,2,2024-11-03
85,72,13,1,2024-11-03
86,45,500,5,2024-03-16
87,12,252,2,2024-10-20
88,281,247,1,2024-07-06
89,139,215,2,2024-07-08
90,51,107,5,2024-01-31
91,59,75,1,2024-09-03
92,35,340,3,2024-01-05
93,15,318,1,2024-04-14
94,210,405,5,2024-08-29
95,297,438,3,2024-05-27
96,182,95,1,2024-11-18
97,275,263,3,2024-07-08
98,26,326,3,2024-02-27
99,226,469,4,2024-11-03
100,209,240,2,2024-08-18
101,230,300,1,2024-09-02
102,81,49,5,2024-09-11
103,125,164,1,2024-08-02
104,65,283,3,2024-01-05
105,140,62,3,2024-04-01
106,160,294,4,2024-11-17
107,212,445,3,2024-10-17
108,266,118,4,2024-11-16
109,298,414,2,2024-06-26
110,74,431,4,2024-05-25
111,57,86,5,2024-07-23
112,76,137,5,2024-01-03
113,150,487,1,2024-05-06
114,290,491,1,2024-06-03
115,84,421,1,2024-06-01
116,186,188,4,2024-08-21
117,257,324,3,2024-06-14
118,229,221,3,2024-08-03
119,26,201,1,2024-10-29
120,275,245,2,2024-08-15
121,289,458,1,2024-04-13
122,33,160,3,2024-04-08
123,235,329,5,2024-11-13
124,159,156,5,2024-11-01
125,135,447,5,2024-08-30
126,225,393,3,2024-02-20
127,190,46,3,2024-11-09
128,161,45,1,2024-02-02
129,8,411,1,2024-02-20
130,24,466,2,2024-04-24
131,100,231,4,2024-06-22
132,179,151,2,2024-07-26
133,195,231,1,2024-05-27
134,78,456,2,2024-10-09
135,175,456,2,2024-03-07
136,51,334,2,2024-02-07
137,281,320,1,2024-07-12
138,234,213,1,2024-07-09
139,145,373,2,2024-03-05
140,6,458,4,2024-01-04
141,40,133,4,2024-03-13
142,110,179,5,2024-02-25
143,40,487,5,2024-01-02
144,197,67,1,2024-01-28
145,112,150,5,2024-11-20
146,85,315,4,2024-06-24
147,210,238,2,2024-06-11
148,53,281,1,2024-03-12
149,176,352,5,2024-03-09
150,291,409,5,2024-05-10
151,186,473,2,2024-08-19
152,261,196,1,2024-04-10
153,89,21,1,2024-08-15
154,214,476,1,2024-02-19
155,143,35,1,2024-04-27
156,221,40,4,2024-07-30
157,133,114,5,2024-08-07
158,12,300,4,2024-07-23
159,234,404,1,2024-11-15
160,140,405,5,2024-02-11
161,114,37,5,2024-04-14
162,140,198,2,2024-11-09
163,189,28,3,2024-03-18
164,174,166,2,2024-11-20
165,168,277,1,2024-01-03
166,65,128,4,2024-04-21
167,134,50,3,2024-11-01
168,202,106,3,2024-08-20
169,184,260,1,2024-09-22
170,295,293,3,2024-08-17
171,110,140,5,2024-11-07
172,259,44,1,2024-03-28
173,236,368,5,2024-03-30
174,207,122,4,2024-10-24
175,194,286,1,2024-06-10
176,208,39,4,2024-07-18
177,226,377,5,2024-08-06
178,185,447,3,2024-05-20
179,37,454,5,2024-01-25
180,153,157,1,2024-01-23
181,152,117,3,2024-04-03
182,52,50,1,2024-07-06
183,228,183,1,2024-07-02
184,274,59,5,2024-11-20
185,103,282,4,2024-07-05
186,269,399,5,2024-03-01
187,141,99,5,2024-04-14
188,265,114,3,2024-06-06
189,160,435,2,2024-09-27
190,90,176,2,2024-01-08
191,87,236,4,2024-01-10
192,271,190,2,2024-09-25
193,68,17,2,2024-04-10
194,296,57,2,2024-09-03
195,253,341,1,2024-11-17
196,166,37,4,2024-03-17
197,53,432,4,2024-07-20
198,118,289,3,2024-06-15
199,273,31,2,2024-05-08
200,114,139,1,2024-04-20
201,67,145,1,2024-01-15
202,49,15,5,2024-08-09
203,77,205,3,2024-05-19
204,257,74,1,2024-04-07
205,74,51,1,2024-02-08
206,272,59,4,2024-02-14
207,139,215,1,2024-05-06
208,238,481,4,2024-11-03
209,178,149,5,2024-10-26
